Symbol,Date,Open,High,Low,Close,Volume
BATA,2017,1350,1350,1241.5,1241.5,1100
BATA,2017,1302,1302.99,1190,1297,2400
BATA,2017,1250,1299.98,1250,1298.99,300
BATA,2017,1335,1335,1335,1335,400
BATA,2017,1276,1301,1268.25,1300,1000
BATA,2017,1277,1277,1276,1276,200
BATA,2017,1275,1275,1270,1270,400
BATA,2017,1270,1270,1260,1260,100
BATA,2017,1250,1250,1230,1230,200
BATA,2017,1250,1250,1250,1250,50
BATA,2017,1284,1285,1284,1285,100
BATA,2017,1280,1347.9,1280,1313.95,100
BATA,2017,1260.1,1355,1260.1,1355,250
BATA,2017,1366,1385,1366,1385,350
BATA,2017,1450,1450,1350,1350,250
BATA,2017,1384.99,1384.99,1384.99,1384.99,150
BATA,2017,1395,1454,1394,1400,450
BATA,2017,1375.5,1449.95,1375.5,1445,350
BATA,2017,1445,1490,1445,1490,150
BATA,2017,1425.01,1495,1425.01,1495,200
BATA,2017,1495,1495,1485,1485,150
BATA,2017,1480,1480,1450,1457,400
BATA,2017,1405.1,1473.9,1405.1,1473.9,200
BATA,2017,1474,1474,1474,1474,100
BATA,2017,1440,1440,1440,1440,50
BATA,2017,1470,1470,1440,1440,50
BATA,2017,1400,1485,1400,1480,200
BATA,2017,1485,1485,1450,1450,300
BATA,2017,1450,1450,1450,1450,50
BATA,2017,1377.99,1400,1377.99,1392.67,250
BATA,2017,1351,1351,1324,1325,750
BATA,2017,1280,1280,1280,1280,250
BATA,2017,1260,1260,1260,1260,100
BATA,2017,1300,1300,1300,1300,50
BATA,2017,1300,1300,1300,1300,100
BATA,2017,1325,1325,1325,1325,50
BATA,2017,1260,1385,1259,1259,250
BATA,2017,1300,1300,1300,1300,100
BATA,2017,1300,1300,1300,1300,1550
BATA,2017,1260,1299,1260,1299,100
BATA,2017,1299,1350,1266,1342.5,1250
BATA,2017,1300.01,1409.62,1300,1409.62,8300
BATA,2017,1528.74,1528.74,1475,1528.74,4450
BATA,2017,1605.17,1605.17,1575,1575,2350
BATA,2017,1599,1653.75,1599,1653.75,2500
BATA,2017,1650,1720,1625,1690,1100
BATA,2017,1690,1774.5,1680,1773,3900
BATA,2017,1808,1840,1808,1840,800
BATA,2017,1820,1820,1748,1748,250
BATA,2017,1750,1750,1750,1750,3350
BATA,2018,1750,1800,1750,1800,750
BATA,2018,1800,1800,1800,1800,350
BATA,2018,1800,1800,1800,1800,350
BATA,2018,1800,1800,1800,1800,550
BATA,2018,1711,1890,1711,1890,850
BATA,2018,1984,1984.5,1984,1984.5,450
BATA,2018,2083.72,2083.72,2080,2083.72,7650
BATA,2018,2100,2187.9,2040,2162.18,2050
BATA,2018,2162.18,2270.28,2162.18,2270.28,1050
BATA,2018,2156.77,2250,2156.77,2250,1000
BATA,2018,2199.99,2199.99,2150,2150,100
BATA,2018,2050,2100,2045,2090,700
BATA,2018,1985.5,1986,1985.5,1985.5,200
BATA,2018,1960,2079,1900,1985,300
BATA,2018,1905.05,1905.05,1905,1905.01,300
BATA,2018,1851,1900,1850,1860.01,400
BATA,2018,1820.01,1820.01,1767.01,1767.01,200
BATA,2018,1690,1855,1685,1740.5,500
BATA,2018,1700,1825,1700,1825,200
BATA,2018,1760,1875,1760,1875,150
BATA,2018,1810,1811,1810,1810,100
BATA,2018,1760.01,1900,1760.01,1900,550
BATA,2018,1900,1900,1805,1805,1300
BATA,2018,1800,1800,1800,1800,200
BATA,2018,1750,1800,1750,1800,150
BATA,2018,1730.01,1730.01,1730,1730,100
BATA,2018,1816.5,1816.5,1816.5,1816.5,50
BATA,2018,1800,1800,1800,1800,100
BATA,2018,1795,1795,1795,1800,600
BATA,2018,1780,1780,1740,1740,250
BATA,2018,1800,1810,1800,1810,500
BATA,2018,1780,1780,1780,1780,50
BATA,2018,1721,1721,1721,1780,150
BATA,2018,1710,1710,1710,1710,200
BATA,2018,1650,1785,1630,1780,1200
BATA,2018,1789,1789,1789,1789,50
BATA,2018,1800,1800,1700,1700,520
BATA,2018,1630,1784,1630,1784,120
BATA,2018,1701,1701,1701,1701,40
BATA,2018,1780,1780,1780,1780,20
BATA,2018,1777,1777,1701,1701,120
BATA,2018,1786,1786,1786,1786,540
BATA,2018,1800,1800,1788,1789,400
BATA,2018,1789,1790,1750,1750,300
BATA,2018,1761,1761,1761,1750,200
BATA,2018,1760,1760,1760,1760,20
BATA,2018,1760,1760,1760,1760,20
BATA,2018,1750,1750,1750,1750,100
BATA,2018,1750,1750,1680,1680.2,200
BATA,2018,1700,1700,1700,1700,100
BATA,2018,1749,1749,1749,1749,20
BATA,2018,1700,1700,1665,1665,100
BATA,2018,1700,1700,1700,1700,40
BATA,2018,1650,1650,1650,1650,40
BATA,2018,1600,1650,1600,1650,60
BATA,2018,1620,1620,1620,1620,100
BATA,2018,1680,1700,1680,1700,240
BATA,2018,1690,1749,1690,1709.78,180
BATA,2018,1709.78,1795.26,1700,1795.26,11780
BATA,2018,1884,1885.02,1800,1800,1860
BATA,2018,1830,1830,1830,1830,20
BATA,2018,1775,1830,1750,1814.5,80
BATA,2018,1850,1850,1840,1840,120
BATA,2018,1800,1800,1750,1763.33,140
BATA,2018,1700,1700,1700,1700,20
BATA,2018,1700,1700,1700,1700,20
BATA,2018,1730,1730,1725,1727.5,40
BATA,2018,1730,1730,1700,1700,40
BATA,2018,1690,1700,1690,1700,180
BATA,2018,1725,1785,1725,1785,4160
BATA,2018,1874.25,1874.25,1865,1874.25,3040
BATA,2018,1920,1929.99,1781,1808.67,180
BATA,2018,1815,1899,1801,1818.85,1080
BATA,2018,1780,1780,1752,1780,40
BATA,2018,1726,1726,1725,1725.33,60
BATA,2018,1800,1800,1780,1782,440
BATA,2018,1735,1735,1735,1735,20
BATA,2018,1780,1800,1780,1800,40
BATA,2018,1770,1770,1735,1735,40
BATA,2018,1710,1710,1650,1675,220
BATA,2018,1651,1674,1600,1674,120
BATA,2018,1757,1757,1630,1630.05,320
BATA,2018,1660,1665.99,1650,1650,260
BATA,2018,1700,1700,1700,1700,40
BATA,2018,1700,1700,1700,1700,40
BATA,2018,1700,1700,1700,1700,100
BATA,2018,1700,1700,1690,1690,960
BATA,2018,1700,1700,1670,1690,100
BATA,2018,1685,1695,1680,1690,180
BATA,2018,1690,1695,1680,1680.33,220
BATA,2018,1700,1764.34,1675,1764.34,2660
BATA,2018,1814,1852.55,1814,1852.55,180
BATA,2018,1945.17,1945.17,1945.17,1945.17,600
BATA,2018,2042.42,2042.42,2042.42,2042.42,20
BATA,2018,2144.54,2144.54,2144.54,2144.54,120
BATA,2018,2251.76,2251.76,2251.76,2251.76,1440
BATA,2018,2364.34,2364.34,2364.33,2364.34,3920
BATA,2018,2270,2482.55,2264.13,2482.55,1100
BATA,2018,2500,2606.67,2500,2606.67,340
BATA,2018,2737,2737,2700,2732.38,1280
BATA,2018,2800,2868.99,2770,2800,1080
BATA,2018,2820,2820,2670,2671.01,200
BATA,2018,2600,2804.56,2540,2667.96,1420
BATA,2018,2790,2801.34,2790,2800,400
BATA,2018,2940,2940,2800,2825.83,1100
BATA,2018,2800,2800,2800,2800,20
BATA,2019,2800,2800,2800,2800,140
BATA,2019,2800,2880,2800,2801,280
BATA,2019,2885.8,2885.8,2661,2799,640
BATA,2019,2775,2775,2659.05,2703.53,180
BATA,2019,2610,2795,2600,2795,180
BATA,2019,2787.99,2795,2666,2677.2,240
BATA,2019,2675,2675,2635,2650,380
BATA,2019,2650,2688,2601,2650,380
BATA,2019,2650,2782.5,2650,2760.06,680
BATA,2019,2890,2898.06,2622.06,2792.46,1300
BATA,2019,2851.01,2932.08,2851.01,2932.08,520
BATA,2019,3078.68,3078.68,3036,3078.68,13780
BATA,2019,3030,3200,3030,3120,1200
BATA,2019,3150,3150,3020,3100,780
BATA,2019,3075,3080,3049,3049.6,240
BATA,2019,3000,3000,3000,3000,100
BATA,2019,2930,2930,2850,2855.56,1360
BATA,2019,2850,2950,2800,2950,460
BATA,2019,3000,3000,2900,2900,120
BATA,2019,2950,2950,2900,2900.5,380
BATA,2019,2900,2960,2900,2900,780
BATA,2019,2950,3045,2950,3045,1040
BATA,2019,3353.37,3353.37,3349,3353.37,1180
BATA,2019,3521,3521.03,3285,3495,820
BATA,2019,3340,3475,3340,3474.5,80
BATA,2019,3316,3350,3306,3306.6,260
BATA,2019,3210,3290,3141.27,3142.76,500
BATA,2019,3200,3200,3200,3200,20
